method,rho,seed,P99_us,P999_us,slo_violation_rate,migration_rate,invalid_migration_ratio,total_finished,total_generated
B2_Reactive,0.7,11,112,194,0.025909,0.0267012,0.108398,1000000,1200958
B2_Reactive,0.7,23,114,194,0.026895,0.0267366,0.107346,1000000,1201011
B2_Reactive,0.7,37,112,196,0.0259,0.0256049,0.122317,1000000,1200862
B2_Reactive,0.7,47,114,196,0.026407,0.0268307,0.107284,1000000,1200975
B2_Reactive,0.7,59,114,194,0.025667,0.0268987,0.0978237,1000000,1200911
M0_Proactive,0.7,11,112,162,0.002155,0.0449986,0.000666198,1000000,1200883
M0_Proactive,0.7,23,112,160,0.001293,0.0450075,0.000610534,1000000,1200933
M0_Proactive,0.7,37,112,168,0.004277,0.0450114,0.00157241,1000000,1200962
M0_Proactive,0.7,47,112,164,0.003299,0.0450021,0.00103623,1000000,1200878
M0_Proactive,0.7,59,112,164,0.002651,0.0450005,0.000814166,1000000,1200942
B0_IdealCFCFS,0.75,11,172,206,0.060757,0,0,1000000,1201106
B0_IdealCFCFS,0.75,23,174,206,0.061785,0,0,1000000,1201209
B0_IdealCFCFS,0.75,37,174,206,0.060708,0,0,1000000,1201127
B0_IdealCFCFS,0.75,47,174,206,0.061109,0,0,1000000,1201095
B0_IdealCFCFS,0.75,59,172,206,0.061463,0,0,1000000,1201138
B1_PowerOf2,0.75,11,174,206,0.06349,0,0,1000000,1201066
B1_PowerOf2,0.75,23,176,206,0.064139,0,0,1000000,1201123
B1_PowerOf2,0.75,37,178,206,0.065995,0,0,1000000,1201268
B1_PowerOf2,0.75,47,176,206,0.065054,0,0,1000000,1201234
B1_PowerOf2,0.75,59,174,206,0.063614,0,0,1000000,1201111
B2_Reactive,0.75,11,156,204,0.055921,0.0249186,0.136948,1000000,1201153
B2_Reactive,0.75,23,162,206,0.059221,0.0250265,0.136988,1000000,1201168
B2_Reactive,0.75,37,158,204,0.056845,0.0249621,0.137836,1000000,1201221
B2_Reactive,0.75,47,158,204,0.056624,0.0249585,0.139031,1000000,1201155
B2_Reactive,0.75,59,158,204,0.055732,0.0248133,0.141668,1000000,1201049
M0_Proactive,0.75,11,162,204,0.046212,0.0450246,0.0499482,1000000,1201032
M0_Proactive,0.75,23,164,204,0.045958,0.0450293,0.0491052,1000000,1201173
M0_Proactive,0.75,37,168,204,0.049375,0.0450315,0.0557456,1000000,1201048
M0_Proactive,0.75,47,164,204,0.046388,0.0450177,0.0523026,1000000,1201083
M0_Proactive,0.75,59,164,204,0.045952,0.0450211,0.0501896,1000000,1201103
B0_IdealCFCFS,0.8,11,196,206,0.098152,0,0,1000000,1201275
B0_IdealCFCFS,0.8,23,196,206,0.099732,0,0,1000000,1201372
B0_IdealCFCFS,0.8,37,196,206,0.098189,0,0,1000000,1201349
B0_IdealCFCFS,0.8,47,196,206,0.098655,0,0,1000000,1201327
B0_IdealCFCFS,0.8,59,196,206,0.098628,0,0,1000000,1201398
B1_PowerOf2,0.8,11,194,206,0.098491,0,0,1000000,1201244
B1_PowerOf2,0.8,23,194,206,0.099006,0,0,1000000,1201349
B1_PowerOf2,0.8,37,196,206,0.103034,0,0,1000000,1201431
B1_PowerOf2,0.8,47,196,206,0.100827,0,0,1000000,1201449
B1_PowerOf2,0.8,59,194,206,0.099387,0,0,1000000,1201381
B2_Reactive,0.8,11,190,206,0.096656,0.0234914,0.18577,1000000,1201418
B2_Reactive,0.8,23,190,206,0.095022,0.0233287,0.178828,1000000,1201395
B2_Reactive,0.8,37,192,206,0.097457,0.0236205,0.186883,1000000,1201331
B2_Reactive,0.8,47,190,206,0.094099,0.0236393,0.183768,1000000,1201388
B2_Reactive,0.8,59,190,206,0.094959,0.0236411,0.18088,1000000,1201300
M0_Proactive,0.8,11,192,206,0.088127,0.0450623,0.104414,1000000,1201449
M0_Proactive,0.8,23,192,206,0.091761,0.0451005,0.108662,1000000,1201250
M0_Proactive,0.8,37,194,206,0.093016,0.0450447,0.109887,1000000,1201452
M0_Proactive,0.8,47,192,206,0.088721,0.0450605,0.104975,1000000,1201207
M0_Proactive,0.8,59,192,206,0.088332,0.0449918,0.107049,1000000,1201330
B0_IdealCFCFS,0.85,11,204,218,0.161994,0,0,1000000,1201657
B0_IdealCFCFS,0.85,23,204,236,0.166751,0,0,1000000,1201767
B0_IdealCFCFS,0.85,37,204,226,0.163811,0,0,1000000,1201742
B0_IdealCFCFS,0.85,47,204,228,0.164943,0,0,1000000,1201704
B0_IdealCFCFS,0.85,59,204,226,0.16433,0,0,1000000,1201767
B1_PowerOf2,0.85,11,202,208,0.148039,0,0,1000000,1201568
B1_PowerOf2,0.85,23,202,208,0.149354,0,0,1000000,1201699
B1_PowerOf2,0.85,37,204,208,0.155412,0,0,1000000,1201852
B1_PowerOf2,0.85,47,204,208,0.151421,0,0,1000000,1201829
B1_PowerOf2,0.85,59,202,208,0.147696,0,0,1000000,1201648
B2_Reactive,0.85,11,202,208,0.147282,0.0223038,0.23844,1000000,1201366
B2_Reactive,0.85,23,202,208,0.148066,0.0221939,0.242088,1000000,1201590
B2_Reactive,0.85,37,202,208,0.149069,0.0199721,0.241448,1000000,1201726
B2_Reactive,0.85,47,202,208,0.14434,0.0214194,0.238412,1000000,1201575
B2_Reactive,0.85,59,202,208,0.147368,0.0200556,0.239814,1000000,1201761
M0_Proactive,0.85,11,202,208,0.145124,0.0450883,0.153603,1000000,1201465
M0_Proactive,0.85,23,202,208,0.145043,0.0450999,0.154385,1000000,1201821
M0_Proactive,0.85,37,202,208,0.147108,0.0450956,0.159743,1000000,1201602
M0_Proactive,0.85,47,202,208,0.145464,0.0450517,0.15797,1000000,1201665
